record_id,source,prompt,word_count,character_count,formatting_flags,duplicate_flags,near_duplicate_flags,review_status,review_notes
D_0036,OASST1,Good afternoon! I'm a book lover and I'd like to find some new titles to add to my reading list. Can you suggest some must-read books?,26,134,,,not_checked,pending,
D_0037,Alpaca,"What is the plural possessive form of ""dog""?",8,44,,,not_checked,pending,
D_0038,Dolly-15k,"Tell me which sport the following athletes play, or played in the past: Michael Jordan, Derek Jeter, Joe Namath, Lebron James, Tiger Woods, Rory Mcilroy, Jackie Robinson, Mike Tyson, Barry Sanders, Tom Brady, Jaromir Jagr, Sydney Crosby, Muhammed Ali, Greg Maddux, Oscar Robertson",43,280,,,not_checked,pending,
D_0039,OASST1,Can you help me prove Big O notation in LaTeX? Given $T(n)={15n}^3+n^2+4$ prove that $T(n)=O(n^3)$. I'd like a formal induction proof which uses a valid $c$ and $n_0$ value.,29,173,,,not_checked,pending,
D_0040,Alpaca,Come up with ideas for a new business that takes advantage of artificial intelligence.,14,86,,,not_checked,pending,
D_0041,Alpaca,Create a To-Do list for an individual who wants to become a successful AI researcher.,15,85,,,not_checked,pending,
D_0042,Dolly-15k,Think of a bunch of ways that you could clean a house.,12,54,,,not_checked,pending,
D_0043,Alpaca,Give me an example of a current policy by an organization that benefits the environment.,15,88,,,not_checked,pending,
D_0044,Alpaca,Explain the process of photosynthesis in 3 sentences or less.,10,61,,,not_checked,pending,
D_0045,Alpaca,Identify the most famous painting by Vincent van Gogh.,9,54,,,not_checked,pending,
D_0046,Alpaca,Construct a paragraph of maximum 100 words about the process of making pizza,13,76,,,not_checked,pending,
D_0047,Alpaca,Come up with three ways to increase customer loyalty.,9,53,,,not_checked,pending,
D_0048,Dolly-15k,Describe a camping plan with your family especially when you have young children,13,80,,,not_checked,pending,
D_0049,Dolly-15k,Who was the US president when WWII ended?,8,41,,,not_checked,pending,
